hotelName,hotelInformationUrl,hotelMinCharge,latitude,longitude,reviewCount,reviewAverage
羽う座　京都五条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172696,2250,125972.09,488743.54,13,4.2
京都ゲストハウス栞庵（しおりあん）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145304,,125970.05,488742.99,114,3.88
スーパーホテル京都・烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=80468,2500,125968.52,488744.14,1239,4.32
ベッセルホテルカンパーナ京都五条（全室禁煙）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147994,57,125973.63,488750.7,1342,4.52
ＴＨＥ　ＰＯＣＫＥＴ　ＨＯＴＥＬ（ザ・ポケットホテル）京都烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179674,1148,125975.78,488747.94,79,4.28
シタディーン京都　烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104758,1936,125975.8,488748.49,553,4.22
ウォーターマークホテル京都（ＨＩＳホテルグループ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179875,2600,125973.94,488739.03,131,4.39
Ｒｉｎｎ　Ｇｏｊｏ　Ｋａｒａｓｕｍａ（鈴ホテル　五条烏丸）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178300,,125972.13,488752.38,13,4.75
烏丸六条ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165178,2940,125966.81,488740.0,52,4.57
ホテル　カンラ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108734,7200,125964.87,488744.23,464,4.7
オーベルジュ麻布,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172672,11750,125977.03,488738.79,12,5.0
ジャパンホテルズ五条室町　ＩＮ京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165144,,125978.92,488740.16,22,4.0
京町離宮　東本願寺,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179857,,125970.69,488733.89,14,2.0
ｓｅｑｕｅｎｃｅ　ＫＹＯＴＯ　ＧＯＪＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179606,2500,125981.01,488744.31,206,4.45
Ｒａｃｉｎｅ　ｈｏｍｅ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153492,3400,125961.5,488749.57,13,5.0
